RecipeName,BaseServings,Ingredient,Quantity,Unit,Category,Method
Recipe 1,20,Milk,454,tbsp,Condiments,This is the method for recipe 1.
Recipe 1,20,Carrots,586,tbsp,Dry Goods,This is the method for recipe 1.
Recipe 1,20,Peppers,668,l,Dry Goods,This is the method for recipe 1.
Recipe 1,20,Tomatoes,848,pcs,Dry Goods,This is the method for recipe 1.
Recipe 1,20,Sugar,565,l,Dry Goods,This is the method for recipe 1.
Recipe 1,20,Cheese,563,tbsp,Dairy,This is the method for recipe 1.
Recipe 2,20,Peppers,137,tbsp,Protein,This is the method for recipe 2.
Recipe 2,20,Pasta,296,pcs,Protein,This is the method for recipe 2.
Recipe 2,20,Beef,840,pcs,Protein,This is the method for recipe 2.
Recipe 3,20,Lettuce,187,ml,Dairy,This is the method for recipe 3.
Recipe 3,20,Lettuce,752,tsp,Protein,This is the method for recipe 3.
Recipe 3,20,Carrots,204,tsp,Dairy,This is the method for recipe 3.
Recipe 3,20,Flour,309,g,Protein,This is the method for recipe 3.
Recipe 4,20,Chicken,817,ml,Protein,This is the method for recipe 4.
Recipe 4,20,Lettuce,455,kg,Dry Goods,This is the method for recipe 4.
Recipe 4,20,Chicken,447,tbsp,Condiments,This is the method for recipe 4.
Recipe 5,20,Milk,237,tbsp,Dairy,This is the method for recipe 5.
Recipe 5,20,Pasta,696,tbsp,Dairy,This is the method for recipe 5.
Recipe 5,20,Chicken,56,tsp,Condiments,This is the method for recipe 5.
Recipe 5,20,Celery,620,ml,Condiments,This is the method for recipe 5.
Recipe 5,20,Pasta,100,tsp,Protein,This is the method for recipe 5.
Recipe 5,20,Eggs,314,tsp,Dry Goods,This is the method for recipe 5.
Recipe 6,20,Peppers,700,g,Protein,This is the method for recipe 6.
Recipe 6,20,Potatoes,315,l,Dairy,This is the method for recipe 6.
Recipe 6,20,Salt,850,tsp,Protein,This is the method for recipe 6.
Recipe 7,20,Peppers,547,l,Protein,This is the method for recipe 7.
Recipe 7,20,Salt,889,pcs,Protein,This is the method for recipe 7.
Recipe 7,20,Flour,761,kg,Vegetables,This is the method for recipe 7.
Recipe 8,20,Chicken,871,g,Condiments,This is the method for recipe 8.
Recipe 8,20,Carrots,732,g,Dry Goods,This is the method for recipe 8.
Recipe 8,20,Pasta,883,ml,Protein,This is the method for recipe 8.
Recipe 9,20,Eggs,503,g,Vegetables,This is the method for recipe 9.
Recipe 9,20,Potatoes,459,pcs,Dry Goods,This is the method for recipe 9.
Recipe 9,20,Chicken,51,ml,Vegetables,This is the method for recipe 9.
Recipe 9,20,Tomatoes,689,tsp,Vegetables,This is the method for recipe 9.
Recipe 9,20,Cheese,551,ml,Vegetables,This is the method for recipe 9.
Recipe 10,20,Celery,93,pcs,Protein,This is the method for recipe 10.
Recipe 10,20,Pasta,461,tsp,Dry Goods,This is the method for recipe 10.
Recipe 10,20,Peppers,169,tbsp,Protein,This is the method for recipe 10.
Recipe 10,20,Cheese,788,tsp,Vegetables,This is the method for recipe 10.
Recipe 11,20,Chicken,465,pcs,Protein,This is the method for recipe 11.
Recipe 11,20,Eggs,979,kg,Dry Goods,This is the method for recipe 11.
Recipe 11,20,Spinach,659,tsp,Protein,This is the method for recipe 11.
Recipe 12,20,Salt,542,l,Dairy,This is the method for recipe 12.
Recipe 12,20,Lettuce,71,ml,Dairy,This is the method for recipe 12.
Recipe 12,20,Sugar,378,tsp,Vegetables,This is the method for recipe 12.
Recipe 12,20,Potatoes,748,ml,Vegetables,This is the method for recipe 12.
Recipe 12,20,Lettuce,908,pcs,Dairy,This is the method for recipe 12.
Recipe 13,20,Peppers,79,ml,Dry Goods,This is the method for recipe 13.
Recipe 13,20,Cheese,400,tsp,Vegetables,This is the method for recipe 13.
Recipe 13,20,Sugar,186,l,Vegetables,This is the method for recipe 13.
Recipe 13,20,Carrots,908,tsp,Condiments,This is the method for recipe 13.
Recipe 13,20,Onions,673,g,Condiments,This is the method for recipe 13.
Recipe 13,20,Sugar,865,ml,Dry Goods,This is the method for recipe 13.
Recipe 14,20,Beef,360,ml,Dry Goods,This is the method for recipe 14.
Recipe 14,20,Pasta,837,l,Dairy,This is the method for recipe 14.
Recipe 14,20,Spinach,634,g,Condiments,This is the method for recipe 14.
Recipe 14,20,Eggs,985,kg,Dry Goods,This is the method for recipe 14.
Recipe 14,20,Chicken,80,pcs,Condiments,This is the method for recipe 14.
Recipe 14,20,Garlic,153,pcs,Dry Goods,This is the method for recipe 14.
Recipe 15,20,Lettuce,438,pcs,Dry Goods,This is the method for recipe 15.
Recipe 15,20,Carrots,813,ml,Dairy,This is the method for recipe 15.
Recipe 15,20,Beef,111,kg,Protein,This is the method for recipe 15.
Recipe 15,20,Celery,324,kg,Condiments,This is the method for recipe 15.
Recipe 15,20,Onions,459,l,Vegetables,This is the method for recipe 15.
Recipe 15,20,Cheese,874,g,Dry Goods,This is the method for recipe 15.
Recipe 16,20,Pasta,322,kg,Dairy,This is the method for recipe 16.
Recipe 16,20,Onions,797,l,Dry Goods,This is the method for recipe 16.
Recipe 16,20,Carrots,98,kg,Protein,This is the method for recipe 16.
Recipe 16,20,Peppers,711,pcs,Dairy,This is the method for recipe 16.
Recipe 16,20,Onions,791,ml,Dry Goods,This is the method for recipe 16.
Recipe 16,20,Flour,661,ml,Protein,This is the method for recipe 16.
Recipe 17,20,Salt,80,kg,Protein,This is the method for recipe 17.
Recipe 17,20,Chicken,609,l,Dry Goods,This is the method for recipe 17.
Recipe 17,20,Eggs,934,l,Dairy,This is the method for recipe 17.
Recipe 17,20,Butter,776,g,Dry Goods,This is the method for recipe 17.
Recipe 17,20,Butter,482,kg,Dry Goods,This is the method for recipe 17.
Recipe 17,20,Pasta,985,g,Condiments,This is the method for recipe 17.
Recipe 18,20,Chicken,757,tbsp,Dairy,This is the method for recipe 18.
Recipe 18,20,Spinach,659,tsp,Dairy,This is the method for recipe 18.
Recipe 18,20,Spinach,765,l,Condiments,This is the method for recipe 18.
Recipe 18,20,Spinach,466,l,Dairy,This is the method for recipe 18.
Recipe 19,20,Spinach,358,tbsp,Dairy,This is the method for recipe 19.
Recipe 19,20,Salt,269,kg,Vegetables,This is the method for recipe 19.
Recipe 19,20,Potatoes,594,pcs,Vegetables,This is the method for recipe 19.
Recipe 19,20,Chicken,267,l,Dry Goods,This is the method for recipe 19.
Recipe 19,20,Pasta,204,tsp,Protein,This is the method for recipe 19.
Recipe 19,20,Flour,640,pcs,Dry Goods,This is the method for recipe 19.
Recipe 20,20,Butter,962,pcs,Dairy,This is the method for recipe 20.
Recipe 20,20,Onions,319,tbsp,Dairy,This is the method for recipe 20.
Recipe 20,20,Cheese,292,kg,Condiments,This is the method for recipe 20.
Recipe 21,20,Butter,399,ml,Vegetables,This is the method for recipe 21.
Recipe 21,20,Sugar,526,l,Vegetables,This is the method for recipe 21.
Recipe 21,20,Chicken,613,tsp,Condiments,This is the method for recipe 21.
Recipe 22,20,Celery,340,ml,Dry Goods,This is the method for recipe 22.
Recipe 22,20,Sugar,163,g,Condiments,This is the method for recipe 22.
Recipe 22,20,Butter,684,ml,Dry Goods,This is the method for recipe 22.
Recipe 22,20,Rice,529,l,Vegetables,This is the method for recipe 22.
Recipe 23,20,Lettuce,889,tbsp,Protein,This is the method for recipe 23.
Recipe 23,20,Onions,986,pcs,Dairy,This is the method for recipe 23.
Recipe 23,20,Lettuce,665,l,Protein,This is the method for recipe 23.
Recipe 23,20,Chicken,335,tbsp,Vegetables,This is the method for recipe 23.
Recipe 23,20,Salt,403,l,Vegetables,This is the method for recipe 23.
Recipe 23,20,Garlic,157,l,Vegetables,This is the method for recipe 23.
Recipe 24,20,Lettuce,755,ml,Condiments,This is the method for recipe 24.
Recipe 24,20,Celery,209,kg,Condiments,This is the method for recipe 24.
Recipe 24,20,Carrots,393,ml,Dry Goods,This is the method for recipe 24.
Recipe 24,20,Butter,308,ml,Dairy,This is the method for recipe 24.
Recipe 24,20,Celery,56,l,Condiments,This is the method for recipe 24.
Recipe 25,20,Sugar,182,pcs,Dry Goods,This is the method for recipe 25.
Recipe 25,20,Flour,577,tbsp,Vegetables,This is the method for recipe 25.
Recipe 25,20,Carrots,408,g,Vegetables,This is the method for recipe 25.
Recipe 25,20,Lettuce,128,g,Condiments,This is the method for recipe 25.
Recipe 26,20,Onions,921,l,Dairy,This is the method for recipe 26.
Recipe 26,20,Eggs,780,g,Dairy,This is the method for recipe 26.
Recipe 26,20,Onions,793,tsp,Dry Goods,This is the method for recipe 26.
Recipe 27,20,Chicken,657,g,Condiments,This is the method for recipe 27.
Recipe 27,20,Flour,166,kg,Condiments,This is the method for recipe 27.
Recipe 27,20,Potatoes,752,ml,Condiments,This is the method for recipe 27.
Recipe 27,20,Flour,979,kg,Dry Goods,This is the method for recipe 27.
Recipe 27,20,Cheese,977,l,Dairy,This is the method for recipe 27.
Recipe 27,20,Sugar,876,tsp,Condiments,This is the method for recipe 27.
Recipe 28,20,Onions,457,tbsp,Condiments,This is the method for recipe 28.
Recipe 28,20,Lettuce,813,tbsp,Dairy,This is the method for recipe 28.
Recipe 28,20,Eggs,309,kg,Vegetables,This is the method for recipe 28.
Recipe 28,20,Onions,187,pcs,Condiments,This is the method for recipe 28.
Recipe 28,20,Chicken,646,tbsp,Condiments,This is the method for recipe 28.
Recipe 29,20,Onions,478,tbsp,Dairy,This is the method for recipe 29.
Recipe 29,20,Sugar,964,g,Dry Goods,This is the method for recipe 29.
Recipe 29,20,Beef,429,g,Dairy,This is the method for recipe 29.
Recipe 29,20,Milk,592,kg,Dairy,This is the method for recipe 29.
Recipe 29,20,Spinach,856,tbsp,Vegetables,This is the method for recipe 29.
Recipe 29,20,Sugar,742,kg,Dry Goods,This is the method for recipe 29.
Recipe 30,20,Butter,510,tbsp,Dairy,This is the method for recipe 30.
Recipe 30,20,Onions,175,pcs,Condiments,This is the method for recipe 30.
